total_timesteps,n_updates,ep_len_mean,ep_reward_mean_agt1,ep_reward_mean_agt2,Environment Depth,ball_collision_agt1,ball_collision_agt2,no_side_agt1,no_side_agt2
1155072.0,282.0,429.33,-3.43,-5.59,6.0,1.52,0.67,4.25,5.01
1159168.0,283.0,429.58,-3.33,-5.69,6.0,1.6,0.64,3.97,5.54
1163264.0,284.0,429.28,-3.31,-5.72,6.0,1.57,0.6,3.28,5.55
1167360.0,285.0,426.59,-3.35,-5.75,6.0,1.42,0.62,3.11,5.59
1171456.0,286.0,429.39,-3.38,-5.71,6.0,1.34,0.66,3.11,6.18
1175552.0,287.0,430.12,-3.38,-5.7,6.0,1.28,0.64,3.31,5.72
1179648.0,288.0,426.63,-3.26,-5.91,6.0,1.32,0.59,3.09,5.65
1183744.0,289.0,426.14,-3.32,-5.81,6.0,1.37,0.6,2.77,5.55
1187840.0,290.0,428.28,-3.24,-5.89,6.0,1.52,0.58,3.17,5.57
1191936.0,291.0,429.76,-3.24,-5.85,6.0,1.59,0.57,3.41,5.54
1196032.0,292.0,428.05,-3.12,-6.01,6.0,1.69,0.53,3.37,4.94
1200128.0,293.0,430.53,-3.15,-5.93,6.0,1.68,0.56,3.71,4.55
1204224.0,294.0,433.41,-3.12,-5.9,6.0,1.66,0.6,3.68,4.2
1208320.0,295.0,430.64,-3.18,-5.88,6.0,1.65,0.52,3.79,4.14
1212416.0,296.0,430.87,-3.22,-5.8,6.0,1.62,0.52,3.65,3.77
1216512.0,297.0,426.43,-3.16,-5.9,6.0,1.7,0.48,3.29,3.08
1220608.0,298.0,426.14,-3.18,-5.88,6.0,1.57,0.49,3.53,3.01
1224704.0,299.0,427.81,-3.15,-5.89,6.0,1.47,0.51,3.55,2.86
1228800.0,300.0,425.17,-3.23,-5.85,6.0,1.44,0.48,3.37,2.95
1232896.0,301.0,424.65,-3.18,-5.93,6.0,1.38,0.44,2.78,3.03
1236992.0,302.0,423.76,-3.21,-5.92,6.0,1.35,0.51,2.48,2.86
1241088.0,303.0,420.61,-3.27,-5.9,6.0,1.24,0.47,2.27,2.66
1245184.0,304.0,419.24,-3.2,-5.98,6.0,1.25,0.45,2.43,2.64
1249280.0,305.0,417.51,-3.24,-5.93,6.0,1.27,0.44,2.42,2.69
1253376.0,306.0,417.55,-3.19,-5.97,6.0,1.34,0.42,2.71,3.08
1257472.0,307.0,420.06,-3.25,-5.87,6.0,1.29,0.45,3.1,3.32
1261568.0,308.0,421.76,-3.23,-5.89,6.0,1.42,0.48,3.05,3.39
1265664.0,309.0,419.39,-3.25,-5.87,6.0,1.46,0.45,3.2,3.42
1269760.0,310.0,421.67,-3.24,-5.85,6.0,1.46,0.52,3.4,3.25
1273856.0,311.0,422.73,-3.31,-5.76,6.0,1.41,0.63,3.6,2.85
1277952.0,312.0,424.27,-3.3,-5.74,6.0,1.39,0.58,4.05,2.6
1282048.0,313.0,424.51,-3.29,-5.73,6.0,1.36,0.66,4.12,2.51
